Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,
Mali,MLI,GDP per capita (current US$),751.170593517089,779.874933008414,828.511976401524,899.659908096615,,
Malta,MLT,GDP per capita (current US$),24077.0108248549,25151.5196168932,27283.5447293274,30029.9670447209,,
Myanmar,MMR,GDP per capita (current US$),1133.00281580351,1192.49533785043,1249.82874570041,1325.9529237064,,
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),3963.37285694474,3939.87659633446,3825.03406310963,,,
Montenegro,MNE,GDP per capita (current US$),6514.27269528653,7028.93657685094,7784.06528996557,8845.91421887296,,
Mongolia,MNG,GDP per capita (current US$),3918.57917389554,3660.15074616061,3669.4175404033,4121.73243469391,,
Northern Mariana Islands,MNP,GDP per capita (current US$),16690.5700968089,22246.7430768136,28305.222587603,23258.6758552794,,
Mozambique,MOZ,GDP per capita (current US$),589.859028149831,428.926487995524,461.415094120589,498.957220208652,,
Mauritania,MRT,GDP per capita (current US$),1193.40059592486,1123.88816589683,1145.54794727391,1188.83458753973,,
Mauritius,MUS,GDP per capita (current US$),9260.44730250635,9681.61856689674,10484.9083620411,11238.6903948961,,
Malawi,MWI,GDP per capita (current US$),380.597033140938,315.777326372575,356.717573153369,389.398033178836,,
Malaysia,MYS,GDP per capita (current US$),9955.24212653611,9817.74086096214,10254.2340242588,11373.2330025676,,
North America,NAC,GDP per capita (current US$),55493.6314587881,56360.576552448,58459.6494449519,61197.8557253429,,
Namibia,NAM,GDP per capita (current US$),5032.88976228194,4786.23530295128,5646.45600811344,5931.45388611617,,
New Caledonia,NCL,GDP per capita (current US$),,,,,,
Niger,NER,GDP per capita (current US$),360.853384070947,362.131132274334,375.869489673522,413.980304962089,,
Nigeria,NGA,GDP per capita (current US$),2730.4303237015,2175.99967021858,1968.55958830575,2028.18197017598,,
Nicaragua,NIC,GDP per capita (current US$),2049.84968976149,2107.56717992428,2159.16307935984,2020.54702818624,,
Netherlands,NLD,GDP per capita (current US$),45175.2318933798,46007.8529206547,48554.9922761756,53022.1913911959,,
Norway,NOR,GDP per capita (current US$),74355.5158575643,70460.5605323322,75496.7540581998,81734.4655736102,,
Nepal,NPL,GDP per capita (current US$),792.552890593381,777.147595512165,911.444266508683,1033.91243082634,,
Nauru,NRU,GDP per capita (current US$),8013.35760796908,7820.7295990997,8844.74280553977,9888.89359652993,,
New Zealand,NZL,GDP per capita (current US$),38559.5470380365,40026.8521964671,42260.1251767853,42330.9063973053,,
OECD members,OED,GDP per capita (current US$),36628.9415409686,37094.0654431197,38432.1692536135,40426.9140529326,,
Oman,OMN,GDP per capita (current US$),16150.8872575968,14721.6473328796,15130.4978264405,16415.1572780989,,
Other small states,OSS,GDP per capita (current US$),12808.3992557087,12417.9322010384,13437.6830016133,14682.0359351668,,
Pakistan,PAK,GDP per capita (current US$),1356.66775582649,1368.45432627629,1464.99330546855,1482.40306306798,,
Panama,PAN,GDP per capita (current US$),13630.3079737945,14356.3240541798,15166.124432066,15575.0725482915,,
Peru,PER,GDP per capita (current US$),6229.10169612596,6204.99726003927,6710.50802896038,6941.23584763012,,
Philippines,PHL,GDP per capita (current US$),2867.15199022128,2941.21203999356,2981.93415144162,3102.71336329931,,
Palau,PLW,GDP per capita (current US$),15871.8426266629,16932.3328631876,16078.2681940701,15859.4348578768,,
Papua New Guinea,PNG,GDP per capita (current US$),2679.34558891149,2509.63145745887,2695.25188280292,2730.27479935873,,
Poland,POL,GDP per capita (current US$),12572.3078809992,12431.5754242492,13856.9823892845,15422.4534677396,,
Pre-demographic dividend,PRE,GDP per capita (current US$),1590.11210072863,1423.6331445225,1475.39575449428,1440.2719359803,,
Puerto Rico,PRI,GDP per capita (current US$),29764.0538920397,30628.7547758033,31353.4341794183,31651.3481514031,,
"Korea, Dem. People’s Rep.",PRK,GDP per capita (current US$),,,,,,
Portugal,PRT,GDP per capita (current US$),19242.3664710981,19978.401214968,21437.3475036794,23403.2176426469,,
Paraguay,PRY,GDP per capita (current US$),5406.70385708338,5319.41021789703,5680.58076826353,5821.81432292324,,
West Bank and Gaza,PSE,GDP per capita (current US$),2967.85174651975,3074.29115236515,3254.48588658763,3198.86664447405,,
Pacific island small states,PSS,GDP per capita (current US$),3781.79768021972,3900.40335197991,4133.25731046749,4224.52989029586,,
Post-demographic dividend,PST,GDP per capita (current US$),40503.8574256079,41213.2859288139,42751.0604363056,45148.8706773344,,
French Polynesia,PYF,GDP per capita (current US$),,,,,,
